# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	26294
# calls	1682797
# total_dp_cells	5337376551
# total_rows	121291518
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	136256	127088	201450	353504	581682	263052	19765	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	139193	110187	183378	364902	877545	7547	45	0	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	1682797	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	124661	36948	199622	219703	178895	176658	195588	319292	231430	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
581	86	167	100	86	107	4785	49
582	89	173	100	89	173	10308	112
583	4	9	100	4	9	26	134
584	25	45	100	25	45	930	37
585	7	9	100	7	9	62	102
586	1	2	100	1	2	2	26
587	15	25	100	15	25	330	76
588	7	9	100	7	9	62	102
589	39	141	100	39	79	2301	137
590	25	45	100	25	45	930	37
591	123	241	100	100	44	1478	36
592	25	45	100	25	45	930	37
593	29	53	100	29	53	1261	122
594	64	123	100	64	123	6000	102
595	93	181	100	93	32	740	37
596	82	159	100	82	159	8996	126
597	1	45	100	1	3	2	28
598	121	237	100	100	197	10592	81
599	25	45	100	25	45	930	37
600	79	203	100	79	159	8843	127
601	16	27	100	16	27	377	46
602	114	223	100	100	28	824	31
603	5	6	100	5	6	30	31
604	54	103	100	54	28	443	22
605	89	173	100	89	166	9766	97
606	1	2	100	1	2	2	70
607	123	241	100	100	90	5150	52
608	40	75	100	40	75	2247	56
609	123	241	100	100	90	5500	56
610	1	2	100	1	2	2	26
611	77	149	100	77	125	4736	53
612	2	3	100	2	3	6	26
613	123	241	100	100	92	5748	56
614	40	75	100	40	17	233	22
615	112	219	100	100	13	266	21
616	1	2	100	1	2	2	62
617	123	241	100	100	84	4858	52
618	3	4	100	3	4	12	47
619	64	123	100	64	123	6161	132
620	64	123	100	64	123	6161	137
621	24	43	100	24	24	490	28
622	72	139	100	72	139	7734	139
623	64	123	100	64	123	6161	142
624	1	2	100	1	2	2	149
625	62	119	100	62	12	126	21
626	1	2	100	1	2	2	26
627	1	108	100	1	3	2	68
628	1	2	100	1	2	2	62
629	64	123	100	64	123	4922	70
630	71	137	100	71	14	262	22
631	1	85	100	1	3	2	87
632	87	169	100	87	169	10084	106
633	1	2	100	1	2	2	149
634	41	77	100	41	77	2527	144
635	41	77	100	41	77	2527	144
636	13	21	100	13	14	117	21
637	4	5	100	4	5	20	125
638	1	2	100	1	2	2	26
639	31	57	100	31	16	166	21
640	59	113	100	59	113	5236	94
641	1	2	100	1	2	2	26
642	84	163	100	84	16	229	20
643	1	2	100	1	2	2	70
644	109	213	100	100	139	6745	49
645	4	5	100	4	5	20	130
646	79	153	100	79	153	8845	105
647	37	69	100	37	69	2057	134
648	1	2	100	1	2	2	27
649	79	153	100	79	153	8845	105
650	37	69	100	37	69	2057	100
651	39	73	100	39	44	1288	37
652	70	179	100	70	141	6330	107
653	109	213	100	100	38	458	22
654	70	179	100	70	141	6330	102
655	25	45	100	25	10	109	19
656	16	138	100	16	33	392	108
657	72	181	100	72	145	5188	75
658	1	2	100	1	2	2	70
659	41	77	100	41	77	2527	144
660	6	7	100	6	7	40	20
661	70	179	100	70	141	6145	95
662	1	2	100	1	2	2	100
663	123	241	100	100	90	5498	56
664	80	155	100	80	155	9051	102
665	49	93	100	49	93	3611	139
666	41	77	100	41	77	2527	144
667	1	2	100	1	2	2	70
668	1	2	100	1	2	2	100
669	87	211	100	87	175	10551	134
670	41	77	100	41	77	2527	144
671	1	2	100	1	2	2	135
672	79	153	100	79	153	8845	103
673	127	249	100	100	26	542	23
674	74	143	100	74	143	7292	95
675	37	69	100	37	69	2057	134
676	59	113	100	59	113	5236	115
677	35	65	100	35	16	206	19
678	4	5	100	4	5	20	118
679	70	179	100	70	141	6330	107
680	23	106	100	23	47	805	48
681	74	143	100	74	132	4356	65
682	1	2	100	1	2	2	100
683	4	5	100	4	5	20	105
684	1	85	100	1	3	2	77
685	4	5	100	4	5	20	123
686	87	211	100	87	175	10419	132
687	79	153	100	79	153	9101	139
688	1	2	100	1	2	2	87
