variant	dataset	read_mode	region	parent	depth	cycles_avg	cycles_min	cycles_max	instructions_avg	instructions_min	instructions_max	global_loads_avg	global_loads_min	global_loads_max	global_stores_avg	global_stores_min	global_stores_max	dcache_accesses_avg	dcache_accesses_min	dcache_accesses_max	dcache_misses_avg	dcache_misses_min	dcache_misses_max	memory_barrier_wait_cycles_avg	memory_barrier_wait_cycles_min	memory_barrier_wait_cycles_max	instruction_buffer_empty_cycles_avg	instruction_buffer_empty_cycles_min	instruction_buffer_empty_cycles_max	cpi_avg
optimized	ERR1203383	SE	KSW_QUERY_INIT_REVERSE	MATE_KSW_ALIGN	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	ERR1203383	SE	KSW_DP_REVERSE	MATE_KSW_ALIGN	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	ERR1203383	SE	MATE_DEDUP	MATE_RESCUE	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	SRR2496709	PE	WORKER_ALIGNMENT		0	26000000000	26000000000	26000000000	12000000000	12000000000	13000000000	5473	5070	5764	0	0	0	1343000000	1293000000	1399000000	8918000	8415000	9595000	30	0	1932	6237000000	6037000000	6383000000	2.166667
optimized	SRR2496709	PE	MEM_CHAIN	WORKER_ALIGNMENT	1	12000000000	11000000000	12000000000	4627000000	4319000000	4830000000	0	0	0	0	0	0	251000000	236000000	262000000	8315000	7781000	8643000	0	0	0	2275000000	2145000000	2368000000	2.593473
optimized	SRR2496709	PE	CHAIN_FILTER	WORKER_ALIGNMENT	1	766000000	616000000	1098000000	255000000	195000000	327000000	0	0	0	0	0	0	61000000	46000000	79000000	81000	16000	457000	0	0	0	263000000	252000000	280000000	3.003922
optimized	SRR2496709	PE	CHAIN_EXTENSION	WORKER_ALIGNMENT	1	3778000000	3483000000	4196000000	2390000000	2142000000	2783000000	0	0	0	0	0	0	350000000	314000000	407000000	154000	137000	199000	0	0	0	1070000000	1023000000	1112000000	1.580753
optimized	SRR2496709	PE	ALIGNMENT_FINALIZE	WORKER_ALIGNMENT	1	335000000	298000000	365000000	115000000	93000000	131000000	0	0	0	0	0	0	17000000	14000000	20000000	273	182	648	0	0	0	156000000	148000000	164000000	2.913043
optimized	SRR2496709	PE	MATE_RESCUE	SAM_FORMAT	2	6248000000	5321000000	7136000000	4293000000	3746000000	4807000000	0	0	0	0	0	0	538000000	461000000	612000000	90000	78000	120000	0	0	0	715000000	597000000	835000000	1.455392
optimized	SRR2496709	PE	PAIRING	SAM_FORMAT	2	221000000	211000000	233000000	41000000	39000000	43000000	0	0	0	0	0	0	5801000	5458000	6248000	5097	3853	6379	0	0	0	153000000	145000000	160000000	5.390244
optimized	SRR2496709	PE	SAM_FORMAT	WORKER_ALIGNMENT	1	8921000000	8036000000	9670000000	5030000000	4504000000	5508000000	0	0	0	0	0	0	658000000	584000000	727000000	205000	191000	236000	0	0	0	2309000000	2206000000	2368000000	1.773559
