cfg	dataset	mode	kernel	new_cyc	share_of_new_total_pct
single	SRR2496709	SE	KSW_DP_REVERSE	0.000e+00	0.0
single	SRR2496709	SE	MATE_DEDUP	0.000e+00	0.0
single	SRR2496709	SE	DEDUP_SORT_END	0.000e+00	0.0
single	SRR2496709	SE	DEDUP_REDUNDANCY	0.000e+00	0.0
single	SRR2496709	SE	DEDUP_SORT_SCORE	0.000e+00	0.0
single	SRR2496709	SE	MEM_COLLECT_FIRST	4.100e+10	15.5
single	SRR2496709	SE	MEM_COLLECT_SPLIT	3.000e+10	11.4
single	SRR2496709	SE	MEM_COLLECT_LAST	2.800e+10	10.6
single	SRR2496709	SE	MEM_COLLECT_SORT	2.599e+09	1.0
single	SRR2496709	SE	CHAIN_BUILD_REPETITIVE	3.350e+08	0.1
single	SRR2496709	SE	CHAIN_BUILD_SA	4.900e+10	18.5
single	SRR2496709	SE	CHAIN_BUILD_RID	4.844e+09	1.8
single	SRR2496709	SE	CHAIN_BUILD_TREE_SEARCH	1.166e+09	0.4
single	SRR2496709	SE	CHAIN_BUILD_MERGE	6.180e+08	0.2
single	SRR2496709	SE	CHAIN_BUILD_INSERT	8.704e+09	3.3
single	SRR2496709	SE	CHAIN_BUILD_FINALIZE	3.593e+09	1.4
single	small_SRR7963242	PE	WORKER_ALIGNMENT	2.106e+12	99.8
single	small_SRR7963242	PE	MEM_CHAIN	5.730e+11	27.1
single	small_SRR7963242	PE	CHAIN_FILTER	8.800e+10	4.2
single	small_SRR7963242	PE	CHAIN_EXTENSION	4.400e+11	20.8
single	small_SRR7963242	PE	ALIGNMENT_FINALIZE	3.300e+10	1.6
single	small_SRR7963242	PE	MATE_RESCUE	9.050e+11	42.9
single	small_SRR7963242	PE	PAIRING	5.717e+09	0.3
single	small_SRR7963242	PE	SAM_FORMAT	9.690e+11	45.9
single	small_SRR7963242	PE	SAM_COPY	4.703e+09	0.2
single	small_SRR7963242	PE	MEM_CHAIN_COLLECT	2.590e+11	12.3
single	small_SRR7963242	PE	MEM_CHAIN_BUILD	3.110e+11	14.7
single	small_SRR7963242	PE	CHAIN_EXTENSION_DP	3.780e+11	17.9
single	small_SRR7963242	PE	MATE_REF_FETCH	9.087e+09	0.4
single	small_SRR7963242	PE	MATE_KSW_ALIGN	6.840e+11	32.4
single	small_SRR7963242	PE	KSW_QUERY_INIT_FORWARD	1.300e+10	0.6
single	small_SRR7963242	PE	KSW_DP_FORWARD	4.860e+11	23.0
single	small_SRR7963242	PE	KSW_QUERY_INIT_REVERSE	1.000e+10	0.5
single	small_SRR7963242	PE	KSW_DP_REVERSE	1.670e+11	7.9
single	small_SRR7963242	PE	MATE_DEDUP	1.810e+11	8.6
single	small_SRR7963242	PE	DEDUP_SORT_END	6.100e+10	2.9
