cfg	dataset	mode	variant	kernel	cycle_avg
single	ERR1203383	SE	new_p	SAM_COPY	3284000000
single	ERR1203383	SE	new_p	MEM_CHAIN_COLLECT	97000000000
single	ERR1203383	SE	new_p	MEM_CHAIN_BUILD	74000000000
single	ERR1203383	SE	new_p	CHAIN_EXTENSION_DP	18000000000
single	ERR1203383	SE	new_p	MATE_REF_FETCH	0
single	ERR1203383	SE	new_p	MATE_KSW_ALIGN	0
single	ERR1203383	SE	new_p	KSW_QUERY_INIT_FORWARD	0
single	ERR1203383	SE	new_p	KSW_DP_FORWARD	0
single	ERR1203383	SE	new_p	KSW_QUERY_INIT_REVERSE	0
single	ERR1203383	SE	new_p	KSW_DP_REVERSE	0
single	ERR1203383	SE	new_p	MATE_DEDUP	0
single	ERR1203383	SE	new_p	DEDUP_SORT_END	0
single	ERR1203383	SE	new_p	DEDUP_REDUNDANCY	0
single	ERR1203383	SE	new_p	DEDUP_SORT_SCORE	0
single	ERR1203383	SE	new_p	MEM_COLLECT_FIRST	35000000000
single	ERR1203383	SE	new_p	MEM_COLLECT_SPLIT	33000000000
single	ERR1203383	SE	new_p	MEM_COLLECT_LAST	25000000000
single	ERR1203383	SE	new_p	MEM_COLLECT_SORT	2597000000
single	ERR1203383	SE	new_p	CHAIN_BUILD_REPETITIVE	403000000
single	ERR1203383	SE	new_p	CHAIN_BUILD_SA	50000000000
single	ERR1203383	SE	new_p	CHAIN_BUILD_RID	4988000000
single	ERR1203383	SE	new_p	CHAIN_BUILD_TREE_SEARCH	1174000000
single	ERR1203383	SE	new_p	CHAIN_BUILD_MERGE	623000000
single	ERR1203383	SE	new_p	CHAIN_BUILD_INSERT	11000000000
single	ERR1203383	SE	new_p	CHAIN_BUILD_FINALIZE	4078000000
single	ERR1203383	SE	old_p	WORKER_ALIGNMENT	287000000000
single	ERR1203383	SE	old_p	MEM_CHAIN	186000000000
single	ERR1203383	SE	old_p	CHAIN_FILTER	15000000000
single	ERR1203383	SE	old_p	CHAIN_EXTENSION	35000000000
single	ERR1203383	SE	old_p	ALIGNMENT_FINALIZE	15000000000
single	ERR1203383	SE	old_p	MATE_RESCUE	0
